Translation failed for entity-view.idCopiedMessage: name 'ICU_PLACEHOLDER_PATTERN' is not defined | Value: Entity view Id has been copied to clipboard
Translation failed for entity-view.assignedToCustomer: name 'ICU_PLACEHOLDER_PATTERN' is not defined | Value: Assigned to customer
Translation failed for entity-view.unable-entity-view-device-alias-title: name 'ICU_PLACEHOLDER_PATTERN' is not defined | Value: Unable to delete entity view alias
Translation failed for entity-view.unable-entity-view-device-alias-text: name 'ICU_PLACEHOLDER_PATTERN' is not defined | Value: Device alias '{{entityViewAlias}}' can't be deleted as it used by the following widget(s):<br/>{{widgetsList}}
Translation failed for entity-view.select-entity-view: name 'ICU_PLACEHOLDER_PATTERN' is not defined | Value: Select entity view
Translation failed for entity-view.make-public: name 'ICU_PLACEHOLDER_PATTERN' is not defined | Value: Make entity view public
Translation failed for entity-view.make-private: name 'ICU_PLACEHOLDER_PATTERN' is not defined | Value: Make entity view private
Translation failed for entity-view.start-date: name 'ICU_PLACEHOLDER_PATTERN' is not defined | Value: Start date
Translation failed for entity-view.start-ts: name 'ICU_PLACEHOLDER_PATTERN' is not defined | Value: Start time
Translation failed for entity-view.end-date: name 'ICU_PLACEHOLDER_PATTERN' is not defined | Value: End date
Translation failed for entity-view.end-ts: name 'ICU_PLACEHOLDER_PATTERN' is not defined | Value: End time
Translation failed for entity-view.date-limits: name 'ICU_PLACEHOLDER_PATTERN' is not defined | Value: Date limits
Translation failed for entity-view.client-attributes: name 'ICU_PLACEHOLDER_PATTERN' is not defined | Value: Client attributes
Translation failed for entity-view.shared-attributes: name 'ICU_PLACEHOLDER_PATTERN' is not defined | Value: Shared attributes
Translation failed for entity-view.server-attributes: name 'ICU_PLACEHOLDER_PATTERN' is not defined | Value: Server attributes
Translation failed for entity-view.timeseries: name 'ICU_PLACEHOLDER_PATTERN' is not defined | Value: Time series
Translation failed for entity-view.client-attributes-placeholder: name 'ICU_PLACEHOLDER_PATTERN' is not defined | Value: Client attributes
Translation failed for entity-view.shared-attributes-placeholder: name 'ICU_PLACEHOLDER_PATTERN' is not defined | Value: Shared attributes
Translation failed for entity-view.server-attributes-placeholder: name 'ICU_PLACEHOLDER_PATTERN' is not defined | Value: Server attributes
Translation failed for entity-view.timeseries-placeholder: name 'ICU_PLACEHOLDER_PATTERN' is not defined | Value: Time series
